DateKey,CalendarDate,Day,DayName,DayOfWeek,WeekNumber,MonthNumber,MonthName,Quarter,CalendarYear,IsWeekend,IsMonthEnd,IsMonthStart,IsQuarterEnd,IsQuarterStart,IsYearEnd,IsYearStart,FiscalMonth,FiscalQuarter,FiscalYear,SourceSystem
20230116,2023-01-16,16,Monday,1,3,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230117,2023-01-17,17,Tuesday,2,3,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230118,2023-01-18,18,Wednesday,3,3,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230119,2023-01-19,19,Thursday,4,3,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230120,2023-01-20,20,Friday,5,3,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230121,2023-01-21,21,Saturday,6,3,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230122,2023-01-22,22,Sunday,7,3,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230123,2023-01-23,23,Monday,1,4,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230124,2023-01-24,24,Tuesday,2,4,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230125,2023-01-25,25,Wednesday,3,4,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230126,2023-01-26,26,Thursday,4,4,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230127,2023-01-27,27,Friday,5,4,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230128,2023-01-28,28,Saturday,6,4,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230129,2023-01-29,29,Sunday,7,4,1,January,Q1,2023,1,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230130,2023-01-30,30,Monday,1,5,1,January,Q1,2023,0,0,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230131,2023-01-31,31,Tuesday,2,5,1,January,Q1,2023,0,1,0,0,0,0,0,1,Q1,2023,Calendar Generator
20230201,2023-02-01,1,Wednesday,3,5,2,February,Q1,2023,0,0,1,0,0,0,0,2,Q1,2023,Calendar Generator
20230202,2023-02-02,2,Thursday,4,5,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230203,2023-02-03,3,Friday,5,5,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230204,2023-02-04,4,Saturday,6,5,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230205,2023-02-05,5,Sunday,7,5,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230206,2023-02-06,6,Monday,1,6,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230207,2023-02-07,7,Tuesday,2,6,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230208,2023-02-08,8,Wednesday,3,6,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230209,2023-02-09,9,Thursday,4,6,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230210,2023-02-10,10,Friday,5,6,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230211,2023-02-11,11,Saturday,6,6,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230212,2023-02-12,12,Sunday,7,6,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230213,2023-02-13,13,Monday,1,7,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230214,2023-02-14,14,Tuesday,2,7,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230215,2023-02-15,15,Wednesday,3,7,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230216,2023-02-16,16,Thursday,4,7,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230217,2023-02-17,17,Friday,5,7,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230218,2023-02-18,18,Saturday,6,7,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230219,2023-02-19,19,Sunday,7,7,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230220,2023-02-20,20,Monday,1,8,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230221,2023-02-21,21,Tuesday,2,8,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230222,2023-02-22,22,Wednesday,3,8,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230223,2023-02-23,23,Thursday,4,8,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230224,2023-02-24,24,Friday,5,8,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230225,2023-02-25,25,Saturday,6,8,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230226,2023-02-26,26,Sunday,7,8,2,February,Q1,2023,1,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230227,2023-02-27,27,Monday,1,9,2,February,Q1,2023,0,0,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230228,2023-02-28,28,Tuesday,2,9,2,February,Q1,2023,0,1,0,0,0,0,0,2,Q1,2023,Calendar Generator
20230301,2023-03-01,1,Wednesday,3,9,3,March,Q1,2023,0,0,1,0,0,0,0,3,Q1,2023,Calendar Generator
20230302,2023-03-02,2,Thursday,4,9,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230303,2023-03-03,3,Friday,5,9,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230304,2023-03-04,4,Saturday,6,9,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230305,2023-03-05,5,Sunday,7,9,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230306,2023-03-06,6,Monday,1,10,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230307,2023-03-07,7,Tuesday,2,10,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230308,2023-03-08,8,Wednesday,3,10,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230309,2023-03-09,9,Thursday,4,10,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230310,2023-03-10,10,Friday,5,10,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230311,2023-03-11,11,Saturday,6,10,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230312,2023-03-12,12,Sunday,7,10,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230313,2023-03-13,13,Monday,1,11,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230314,2023-03-14,14,Tuesday,2,11,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230315,2023-03-15,15,Wednesday,3,11,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230316,2023-03-16,16,Thursday,4,11,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230317,2023-03-17,17,Friday,5,11,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230318,2023-03-18,18,Saturday,6,11,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230319,2023-03-19,19,Sunday,7,11,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230320,2023-03-20,20,Monday,1,12,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230321,2023-03-21,21,Tuesday,2,12,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230322,2023-03-22,22,Wednesday,3,12,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230323,2023-03-23,23,Thursday,4,12,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230324,2023-03-24,24,Friday,5,12,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230325,2023-03-25,25,Saturday,6,12,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230326,2023-03-26,26,Sunday,7,12,3,March,Q1,2023,1,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230327,2023-03-27,27,Monday,1,13,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230328,2023-03-28,28,Tuesday,2,13,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230329,2023-03-29,29,Wednesday,3,13,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230330,2023-03-30,30,Thursday,4,13,3,March,Q1,2023,0,0,0,0,0,0,0,3,Q1,2023,Calendar Generator
20230331,2023-03-31,31,Friday,5,13,3,March,Q1,2023,0,1,0,1,0,0,0,3,Q1,2023,Calendar Generator
20230401,2023-04-01,1,Saturday,6,13,4,April,Q2,2023,1,0,1,0,1,0,0,4,Q2,2023,Calendar Generator
20230402,2023-04-02,2,Sunday,7,13,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230403,2023-04-03,3,Monday,1,14,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230404,2023-04-04,4,Tuesday,2,14,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230405,2023-04-05,5,Wednesday,3,14,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230406,2023-04-06,6,Thursday,4,14,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230407,2023-04-07,7,Friday,5,14,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230408,2023-04-08,8,Saturday,6,14,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230409,2023-04-09,9,Sunday,7,14,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230410,2023-04-10,10,Monday,1,15,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230411,2023-04-11,11,Tuesday,2,15,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230412,2023-04-12,12,Wednesday,3,15,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230413,2023-04-13,13,Thursday,4,15,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230414,2023-04-14,14,Friday,5,15,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230415,2023-04-15,15,Saturday,6,15,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230416,2023-04-16,16,Sunday,7,15,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230417,2023-04-17,17,Monday,1,16,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230418,2023-04-18,18,Tuesday,2,16,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230419,2023-04-19,19,Wednesday,3,16,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230420,2023-04-20,20,Thursday,4,16,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230421,2023-04-21,21,Friday,5,16,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230422,2023-04-22,22,Saturday,6,16,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230423,2023-04-23,23,Sunday,7,16,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230424,2023-04-24,24,Monday,1,17,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230425,2023-04-25,25,Tuesday,2,17,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230426,2023-04-26,26,Wednesday,3,17,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230427,2023-04-27,27,Thursday,4,17,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230428,2023-04-28,28,Friday,5,17,4,April,Q2,2023,0,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230429,2023-04-29,29,Saturday,6,17,4,April,Q2,2023,1,0,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230430,2023-04-30,30,Sunday,7,17,4,April,Q2,2023,1,1,0,0,0,0,0,4,Q2,2023,Calendar Generator
20230501,2023-05-01,1,Monday,1,18,5,May,Q2,2023,0,0,1,0,0,0,0,5,Q2,2023,Calendar Generator
20230502,2023-05-02,2,Tuesday,2,18,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230503,2023-05-03,3,Wednesday,3,18,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230504,2023-05-04,4,Thursday,4,18,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230505,2023-05-05,5,Friday,5,18,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230506,2023-05-06,6,Saturday,6,18,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230507,2023-05-07,7,Sunday,7,18,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230508,2023-05-08,8,Monday,1,19,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230509,2023-05-09,9,Tuesday,2,19,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230510,2023-05-10,10,Wednesday,3,19,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230511,2023-05-11,11,Thursday,4,19,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230512,2023-05-12,12,Friday,5,19,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230513,2023-05-13,13,Saturday,6,19,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230514,2023-05-14,14,Sunday,7,19,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230515,2023-05-15,15,Monday,1,20,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230516,2023-05-16,16,Tuesday,2,20,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230517,2023-05-17,17,Wednesday,3,20,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230518,2023-05-18,18,Thursday,4,20,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230519,2023-05-19,19,Friday,5,20,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230520,2023-05-20,20,Saturday,6,20,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230521,2023-05-21,21,Sunday,7,20,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230522,2023-05-22,22,Monday,1,21,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230523,2023-05-23,23,Tuesday,2,21,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230524,2023-05-24,24,Wednesday,3,21,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230525,2023-05-25,25,Thursday,4,21,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230526,2023-05-26,26,Friday,5,21,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230527,2023-05-27,27,Saturday,6,21,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230528,2023-05-28,28,Sunday,7,21,5,May,Q2,2023,1,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230529,2023-05-29,29,Monday,1,22,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230530,2023-05-30,30,Tuesday,2,22,5,May,Q2,2023,0,0,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230531,2023-05-31,31,Wednesday,3,22,5,May,Q2,2023,0,1,0,0,0,0,0,5,Q2,2023,Calendar Generator
20230601,2023-06-01,1,Thursday,4,22,6,June,Q2,2023,0,0,1,0,0,0,0,6,Q2,2023,Calendar Generator
20230602,2023-06-02,2,Friday,5,22,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230603,2023-06-03,3,Saturday,6,22,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230604,2023-06-04,4,Sunday,7,22,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230605,2023-06-05,5,Monday,1,23,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230606,2023-06-06,6,Tuesday,2,23,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230607,2023-06-07,7,Wednesday,3,23,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230608,2023-06-08,8,Thursday,4,23,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230609,2023-06-09,9,Friday,5,23,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230610,2023-06-10,10,Saturday,6,23,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230611,2023-06-11,11,Sunday,7,23,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230612,2023-06-12,12,Monday,1,24,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230613,2023-06-13,13,Tuesday,2,24,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230614,2023-06-14,14,Wednesday,3,24,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230615,2023-06-15,15,Thursday,4,24,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230616,2023-06-16,16,Friday,5,24,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230617,2023-06-17,17,Saturday,6,24,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230618,2023-06-18,18,Sunday,7,24,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230619,2023-06-19,19,Monday,1,25,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230620,2023-06-20,20,Tuesday,2,25,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230621,2023-06-21,21,Wednesday,3,25,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230622,2023-06-22,22,Thursday,4,25,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230623,2023-06-23,23,Friday,5,25,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230624,2023-06-24,24,Saturday,6,25,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230625,2023-06-25,25,Sunday,7,25,6,June,Q2,2023,1,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230626,2023-06-26,26,Monday,1,26,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230627,2023-06-27,27,Tuesday,2,26,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230628,2023-06-28,28,Wednesday,3,26,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230629,2023-06-29,29,Thursday,4,26,6,June,Q2,2023,0,0,0,0,0,0,0,6,Q2,2023,Calendar Generator
20230630,2023-06-30,30,Friday,5,26,6,June,Q2,2023,0,1,0,1,0,0,0,6,Q2,2023,Calendar Generator
20230701,2023-07-01,1,Saturday,6,26,7,July,Q3,2023,1,0,1,0,1,0,0,7,Q3,2023,Calendar Generator
20230702,2023-07-02,2,Sunday,7,26,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230703,2023-07-03,3,Monday,1,27,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230704,2023-07-04,4,Tuesday,2,27,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230705,2023-07-05,5,Wednesday,3,27,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230706,2023-07-06,6,Thursday,4,27,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230707,2023-07-07,7,Friday,5,27,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230708,2023-07-08,8,Saturday,6,27,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230709,2023-07-09,9,Sunday,7,27,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230710,2023-07-10,10,Monday,1,28,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230711,2023-07-11,11,Tuesday,2,28,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230712,2023-07-12,12,Wednesday,3,28,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230713,2023-07-13,13,Thursday,4,28,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230714,2023-07-14,14,Friday,5,28,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230715,2023-07-15,15,Saturday,6,28,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230716,2023-07-16,16,Sunday,7,28,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230717,2023-07-17,17,Monday,1,29,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230718,2023-07-18,18,Tuesday,2,29,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230719,2023-07-19,19,Wednesday,3,29,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230720,2023-07-20,20,Thursday,4,29,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230721,2023-07-21,21,Friday,5,29,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230722,2023-07-22,22,Saturday,6,29,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230723,2023-07-23,23,Sunday,7,29,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230724,2023-07-24,24,Monday,1,30,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230725,2023-07-25,25,Tuesday,2,30,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230726,2023-07-26,26,Wednesday,3,30,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230727,2023-07-27,27,Thursday,4,30,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230728,2023-07-28,28,Friday,5,30,7,July,Q3,2023,0,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230729,2023-07-29,29,Saturday,6,30,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230730,2023-07-30,30,Sunday,7,30,7,July,Q3,2023,1,0,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230731,2023-07-31,31,Monday,1,31,7,July,Q3,2023,0,1,0,0,0,0,0,7,Q3,2023,Calendar Generator
20230801,2023-08-01,1,Tuesday,2,31,8,August,Q3,2023,0,0,1,0,0,0,0,8,Q3,2023,Calendar Generator
20230802,2023-08-02,2,Wednesday,3,31,8,August,Q3,2023,0,0,0,0,0,0,0,8,Q3,2023,Calendar Generator
